area_code,area,segment,projected_crossing_year,forecast_burden_2028,slope
E06000032,Luton,Always affordable,2026,0.36,0.021429
E06000044,Portsmouth,Always affordable,2026,0.3307,0.015357
E07000092,Rushmoor,Always affordable,2026,0.3356,0.016571
E07000110,Maidstone,Always affordable,2026,0.3271,0.012857
E07000115,Tonbridge and Malling,Deteriorating,2026,0.3253,0.008286
E07000096,Dacorum,Deteriorating,2026,0.3164,0.003214
E07000073,Harlow,Always affordable,2026,0.3329,0.008571
E07000223,Adur,Deteriorating,2026,0.33,0.005
E07000229,Worthing,Always affordable,2026,0.3264,0.011786
E09000006,Bromley,Deteriorating,2026,0.3341,0.007714
E06000025,South Gloucestershire,Always affordable,2027,0.3257,0.016429
E06000045,Southampton,Always affordable,2027,0.3243,0.017143
E07000105,Ashford,Always affordable,2027,0.3271,0.015
E07000070,Chelmsford,Always affordable,2027,0.3214,0.012143
E07000107,Dartford,Always affordable,2027,0.3229,0.011429
E06000036,Bracknell Forest,Always affordable,2027,0.3243,0.015714
E07000212,Runnymede,Always affordable,2027,0.325,0.013929
E07000243,Stevenage,Always affordable,2027,0.3299,0.015857
E07000066,Basildon,Always affordable,2028,0.3079,0.009643
E06000042,Milton Keynes,Always affordable,2028,0.3029,0.009286
E07000061,Eastbourne,Always affordable,2028,0.3043,0.010714
E07000224,Arun,Always affordable,2028,0.3004,0.008857
E07000241,Welwyn Hatfield,Always affordable,2028,0.3048,0.011056
E07000207,Elmbridge,Always affordable,2028,0.3003,0.003679
E08000006,Salford,Always affordable,2028,0.3036,0.008214
E08000009,Trafford,Always affordable,2028,0.3,0.01
